Part Number,GPN,Datasheets,PCB_Footprint,Symbol_Name,Distributor,Distributor_Part_Number,Mfr Part Number,Value,Mfr,Description,Part_Type,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,-3db Bandwidth,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,"Voltage - Supply, Single/Dual (±)",Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
AMP04781,AMP04781,http://www.ti.com/lit/ds/symlink/ths4121.pdf,,,Digikey,296-12493-1-ND,THS4120IDGNR,THS4120IDGNR,Texas Instruments,IC OPAMP DIFF 100MHZ 8MSOP,Differential,1,Differential,55 V/µs,-,100MHz,1.2pA,3mV,11mA,100mA,"3 V ~ 3.5 V, ±1.5 V ~ 1.75 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04782,AMP04782,http://www.ti.com/lit/ds/symlink/ina143.pdf,,,Digikey,INA2143U-ND,INA2143U,INA2143U,Texas Instruments,IC OPAMP DIFF 150KHZ 14SOIC,Differential,2,-,5 V/µs,-,150kHz,-,100µV,950µA,32mA,"4.5 V ~ 36 V, ±2.25 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP04783,AMP04783,http://www.ti.com/lit/ds/symlink/tle2141a.pdf,,,Digikey,296-10475-5-ND,TLE2144MDW,TLE2144MDW,Texas Instruments,IC OPAMP GP 5.9MHZ 16SOIC,General Purpose,4,-,45 V/µs,5.9MHz,-,700nA,600µV,13.8mA,50mA,"4 V ~ 44 V, ±2 V ~ 22 V",-55°C ~ 125°C,Surface Mount,"""16-SOIC (0.295"""", 7.50mm Width)""",16-SOIC
AMP04784,AMP04784,http://www.ti.com/lit/ds/symlink/onet8501pb.pdf,,,Digikey,296-23641-1-ND,ONET8501PBRGTT,ONET8501PBRGTT,Texas Instruments,IC OPAMP LIMITING 9GHZ 16QFN,Limiting,1,-,-,-,9GHz,-,-,50mA,-,2.95 V ~ 3.6 V,-40°C ~ 100°C,Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
AMP04785,AMP04785,http://www.ti.com/lit/ds/symlink/ths4504.pdf,,,Digikey,296-15621-5-ND,THS4505DGN,THS4505DGN,Texas Instruments,IC OPAMP DIFF 210MHZ 8MSOP,Differential,1,Differential,1800 V/µs,210MHz,260MHz,4µA,4mV,16mA,130mA,"4.5 V ~ 15 V, ±2.25 V ~ 7.5 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04786,AMP04786,http://www.ti.com/lit/ds/symlink/ths4504.pdf,,,Digikey,296-16796-5-ND,THS4504DGK,THS4504DGK,Texas Instruments,IC OPAMP DIFF 210MHZ 8VSSOP,Differential,1,Differential,1800 V/µs,210MHz,260MHz,4µA,4mV,16mA,130mA,"4.5 V ~ 15 V, ±2.25 V ~ 7.5 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP04787,AMP04787,http://www.ti.com/lit/ds/symlink/ths4504.pdf,,,Digikey,296-16791-5-ND,THS4505DGK,THS4505DGK,Texas Instruments,IC OPAMP DIFF 210MHZ 8VSSOP,Differential,1,Differential,1800 V/µs,210MHz,260MHz,4µA,4mV,16mA,130mA,"4.5 V ~ 15 V, ±2.25 V ~ 7.5 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP04788,AMP04788,http://www.ti.com/lit/ds/symlink/tlc2654a.pdf,,,Digikey,296-7329-5-ND,TLC2654AI-8D,TLC2654AI-8D,Texas Instruments,IC OPAMP GP 1.9MHZ 8SOIC,General Purpose,1,-,3.7 V/µs,1.9MHz,-,50pA,4µV,1.5mA,50mA,"4.6 V ~ 16 V, ±2.3 V ~ 8 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP04789,AMP04789,http://www.ti.com/lit/ds/symlink/lmp2234.pdf,,,Digikey,296-39783-5-ND,LMP2234AMA/NOPB,LMP2234AMA/NOPB,Texas Instruments,IC OPAMP GP 130KHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,0.058 V/µs,130kHz,-,0.02pA,10µV,36µA,30mA,1.6 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOICN
AMP04790,AMP04790,http://www.ti.com/lit/ds/symlink/tle2022a-ep.pdf,,,Digikey,296-18145-1-ND,TLE2024AQDWREP,TLE2024AQDWREP,Texas Instruments,IC OPAMP GP 2.8MHZ 16SOIC,General Purpose,4,-,0.7 V/µs,2.8MHz,-,45nA,750µV,1.05mA,40mA,"4 V ~ 40 V, ±2 V ~ 20 V",-40°C ~ 125°C,Surface Mount,"""16-SOIC (0.295"""", 7.50mm Width)""",16-SOIC
