Part Number,GPN,Datasheets,PCB_Footprint,Symbol_Name,Distributor,Distributor_Part_Number,Mfr Part Number,Value,Mfr,Description,Part_Type,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,-3db Bandwidth,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,"Voltage - Supply, Single/Dual (±)",Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
07117362,07117362,http://www.linear.com/docs/1799,MSOP65P490X110-8N,LTC2051-MS8,Digikey,LTC2051HMS8#PBF-ND,LTC2051HMS8#PBF,LTC2051HMS8#PBF,Linear Technology,IC OPAMP CHOPPER 3MHZ RRO 8MSOP,Chopper (Zero-Drift),2,Rail-to-Rail,2 V/µs,3MHz,-,90pA,1µV,850µA,-,2.7 V ~ 7 V,-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
07117369,07117369,http://www.linear.com/docs/2537,SOIC127P599X175-14N,LT1679,Digikey,LT1679CS#PBF-ND,LT1679CS#PBF,LT1679CS#PBF,Linear Technology,IC OPAMP GP 20MHZ RRO 14SO,General Purpose,4,Rail-to-Rail,6 V/µs,20MHz,-,2nA,20µV,2.5mA,35mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SO
07117370,07117370,http://www.linear.com/docs/3650,SOIC127P599X175-8N,LT1220CS8,Digikey,LT1220CS8#PBF-ND,LT1220CS8#PBF,LT1220CS8,Linear Technology,IC OPAMP GP 45MHZ 8SO,General Purpose,1,-,250 V/µs,45MHz,-,100nA,500µV,8mA,26mA,±5 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO
07117371,07117371,http://www.ti.com/lit/ds/symlink/opa2211a.pdf,SOIC127P600X170-9N,OPA2211,Digikey,296-24510-5-ND,OPA2211AIDDA,OPA2211AIDDA,Texas Instruments,IC OPAMP GP 80MHZ RRO 8SOPWRPAD,General Purpose,2,Rail-to-Rail,27 V/µs,80MHz,-,60nA,50µV,3.6mA,45mA,"4.5 V ~ 36 V, ±2.25 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width) Exposed Pad""",8-SO PowerPad
AMP00001,AMP00001,http://www.analog.com/media/en/technical-documentation/data-sheets/OP184_284_484.pdf,,,Digikey,OP184ESZ-ND,OP184ESZ,OP184ESZ,Analog Devices Inc,IC OPAMP GP 4.25MHZ RRO 8SOIC,General Purpose,1,Rail-to-Rail,4 V/µs,4.25MHz,-,80nA,100µV,2.25mA,10mA,"3 V ~ 36 V, ±1.5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00002,AMP00002,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8221.pdf,,,Digikey,AD8221ARZ-ND,AD8221ARZ,AD8221ARZ,Analog Devices Inc,IC OPAMP INSTR 825KHZ 8SOIC,Instrumentation,1,-,2 V/µs,-,825kHz,500pA,60µV,900µA,18mA,"4.6 V ~ 36 V, ±2.3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00003,AMP00003,http://www.linear.com/docs/2762,,,Digikey,LT1789CS8-10#PBF-ND,LT1789CS8-10#PBF,LT1789CS8-10#PBF,Linear Technology,IC OPAMP INSTR 25KHZ 8SO,Instrumentation,1,-,0.066 V/µs,25kHz,-,17nA,30µV,85µA,8.5mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00004,AMP00004,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8615_8616_8618.pdf,,,Digikey,AD8618ARZ-ND,AD8618ARZ,AD8618ARZ,Analog Devices Inc,IC OPAMP GP 24MHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,12 V/µs,24MHz,-,0.2pA,23µV,1.7mA,150mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00005,AMP00005,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8615_8616_8618.pdf,,,Digikey,AD8618ARUZ-ND,AD8618ARUZ,AD8618ARUZ,Analog Devices Inc,IC OPAMP GP 24MHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,12 V/µs,24MHz,-,0.2pA,23µV,1.7mA,150mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP00006,AMP00006,http://www.analog.com/media/en/technical-documentation/data-sheets/OP196_296_496.pdf,,,Digikey,OP496GSZ-REEL7CT-ND,OP496GSZ-REEL7,OP496GSZ-REEL7,Analog Devices Inc,IC OPAMP GP 450KHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,0.3 V/µs,450kHz,-,10nA,35µV,60µA,4mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00007,AMP00007,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8253.pdf,,,Digikey,AD8253ARMZ-R7CT-ND,AD8253ARMZ-R7,AD8253ARMZ-R7,Analog Devices Inc,IC OPAMP INSTR 10MHZ 10MSOP,Instrumentation,1,-,20 V/µs,-,10MHz,5nA,150µV,4.6mA,37mA,±5 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-MSOP
AMP00008,AMP00008,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4091-2_4091-4.pdf,,,Digikey,ADA4091-2ARZ-ND,ADA4091-2ARZ,ADA4091-2ARZ,Analog Devices Inc,IC OPAMP GP 1.27MHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,0.46 V/µs,1.27MHz,-,50nA,35µV,200µA,20mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00009,AMP00009,http://www.linear.com/docs/1799,,,Digikey,LTC2051HVIMS8#PBF-ND,LTC2051HVIMS8#PBF,LTC2051HVIMS8#PBF,Linear Technology,IC OPAMP CHOPPER 3MHZ RRO 8MSOP,Chopper (Zero-Drift),2,Rail-to-Rail,2 V/µs,3MHz,-,90pA,1µV,1mA,-,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00010,AMP00010,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8597_8599.pdf,,,Digikey,AD8597ARZ-ND,AD8597ARZ,AD8597ARZ,Analog Devices Inc,IC OPAMP GP 10MHZ 8SOIC,General Purpose,1,-,16 V/µs,10MHz,-,25nA,10µV,5mA,52mA,"9 V ~ 36 V, ±4.5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00011,AMP00011,http://www.analog.com/media/en/technical-documentation/data-sheets/OP177.pdf,,,Digikey,OP177FSZ-ND,OP177FSZ,OP177FSZ,Analog Devices Inc,IC OPAMP GP 600KHZ 8SOIC,General Purpose,1,-,0.3 V/µs,600kHz,-,1.2nA,10µV,1.6mA,-,"6 V ~ 36 V, ±3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00012,AMP00012,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8641_8642_8643.pdf,,,Digikey,AD8642ARZ-ND,AD8642ARZ,AD8642ARZ,Analog Devices Inc,IC OPAMP JFET 3.5MHZ RRO 8SOIC,J-FET,2,Rail-to-Rail,3 V/µs,3.5MHz,-,0.25pA,70µV,200µA,12mA,"5 V ~ 26 V, ±2.5 V ~ 13 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00013,AMP00013,http://www.analog.com/media/en/technical-documentation/data-sheets/OP297.pdf,,,Digikey,OP297GSZ-ND,OP297GSZ,OP297GSZ,Analog Devices Inc,IC OPAMP GP 500KHZ 8SOIC,General Purpose,2,-,0.15 V/µs,500kHz,-,50pA,80µV,525µA,-,"4 V ~ 40 V, ±2 V ~ 20 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00014,AMP00014,http://www.linear.com/docs/29736,,,Digikey,LTC6253HMS8#PBF-ND,LTC6253HMS8#PBF,LTC6253HMS8#PBF,Linear Technology,IC OPAMP GP 720MHZ RRO 8MSOP,General Purpose,2,Rail-to-Rail,280 V/µs,720MHz,400MHz,1.4µA,100µV,4.25mA,100mA,"2.5 V ~ 5.25 V, ±1.25 V ~ 2.625 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00015,AMP00015,http://www.analog.com/media/en/technical-documentation/data-sheets/AD820.pdf,,,Digikey,AD820BRZ-ND,AD820BRZ,AD820BRZ,Analog Devices Inc,IC OPAMP JFET 1.9MHZ RRO 8SOIC,J-FET,1,Rail-to-Rail,3 V/µs,1.9MHz,-,2pA,300µV,700µA,20mA,"5 V ~ 36 V, ±2.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00016,AMP00016,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8338.pdf,,,Digikey,AD8338ACPZ-R7CT-ND,AD8338ACPZ-R7,AD8338ACPZ-R7,Analog Devices Inc,IC OPAMP VGA 18MHZ 16LFCSP,Variable Gain,1,-,50 V/µs,-,18MHz,-,-,-,-,3 V ~ 5 V,-40°C ~ 85°C,Surface Mount,"16-WFQFN Exposed Pad, CSP",16-LFCSP-WQ (3x3)
AMP00017,AMP00017,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8397.pdf,,,Digikey,AD8397ARZ-ND,AD8397ARZ,AD8397ARZ,Analog Devices Inc,IC OPAMP VFB 69MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,53 V/µs,-,69MHz,200pA,1mV,11mA,310mA,"3 V ~ 24 V, ±1.5 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00018,AMP00018,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8625_8626_8627.pdf,,,Digikey,AD8626ARZ-ND,AD8626ARZ,AD8626ARZ,Analog Devices Inc,IC OPAMP JFET 5MHZ RRO 8SOIC,J-FET,2,Rail-to-Rail,5 V/µs,5MHz,-,0.25pA,350µV,710µA,15mA,"5 V ~ 26 V, ±2.5 V ~ 13 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00019,AMP00019,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8625_8626_8627.pdf,,,Digikey,AD8626ARMZ-ND,AD8626ARMZ,AD8626ARMZ,Analog Devices Inc,IC OPAMP JFET 5MHZ RRO 8MSOP,J-FET,2,Rail-to-Rail,5 V/µs,5MHz,-,0.25pA,350µV,710µA,15mA,"5 V ~ 26 V, ±2.5 V ~ 13 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00020,AMP00020,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8042.pdf,,,Digikey,AD8042ARZ-ND,AD8042ARZ,AD8042ARZ,Analog Devices Inc,IC OPAMP VFB 170MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,225 V/µs,-,170MHz,1.2µA,3mV,6mA,50mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00021,AMP00021,http://www.analog.com/media/en/technical-documentation/data-sheets/OP177.pdf,,,Digikey,OP177FSZ-REEL7CT-ND,OP177FSZ-REEL7,OP177FSZ-REEL7,Analog Devices Inc,IC OPAMP GP 600KHZ 8SOIC,General Purpose,1,-,0.3 V/µs,600kHz,-,1.2nA,10µV,1.6mA,-,"6 V ~ 36 V, ±3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00022,AMP00022,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8003.pdf,,,Digikey,AD8003ACPZ-REEL7CT-ND,AD8003ACPZ-REEL7,AD8003ACPZ-REEL7,Analog Devices Inc,IC OPAMP CFA 1.65GHZ 24LFCSP,Current Feedback,3,-,3800 V/µs,-,1.65GHz,7µA,700µV,9.5mA,100mA,"4.5 V ~ 10 V, ±2.25 V ~ 5 V",-40°C ~ 85°C,Surface Mount,"24-WFBGA, WLCSP",24-LFCSP-WQ (4x4)
AMP00023,AMP00023,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8426.pdf,,,Digikey,AD8426ACPZ-R7CT-ND,AD8426ACPZ-R7,AD8426ACPZ-R7,Analog Devices Inc,IC OPAMP INSTR 1MHZ RRO 16LFCSP,Instrumentation,2,Rail-to-Rail,0.6 V/µs,-,1MHz,20nA,200µV,350µA,13mA,"2.2 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"16-VQFN, CSP",16-LFCSP-VQ (4x4)
AMP00024,AMP00024,http://www.analog.com/media/en/technical-documentation/data-sheets/AD622.pdf,,,Digikey,AD622ARZ-ND,AD622ARZ,AD622ARZ,Analog Devices Inc,IC OPAMP INSTR 1MHZ 8SOIC,Instrumentation,1,-,1.2 V/µs,-,1MHz,2nA,60µV,900µA,18mA,±2.6 V ~ 18 V,-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00025,AMP00025,http://www.analog.com/media/en/technical-documentation/data-sheets/OP196_296_496.pdf,,,Digikey,OP496GSZ-ND,OP496GSZ,OP496GSZ,Analog Devices Inc,IC OPAMP GP 450KHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,0.3 V/µs,450kHz,-,10nA,35µV,60µA,4mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00026,AMP00026,http://www.analog.com/media/en/technical-documentation/data-sheets/OP292_492.pdf,,,Digikey,OP492GSZ-ND,OP492GSZ,OP492GSZ,Analog Devices Inc,IC OPAMP GP 4MHZ 14SOIC,General Purpose,4,-,4 V/µs,4MHz,-,375nA,1.4mV,1mA,10.5mA,"4.5 V ~ 33 V, ±2.25 V ~ 16.5 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00027,AMP00027,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4898-1_4898-2.pdf,,,Digikey,ADA4898-1YRDZ-ND,ADA4898-1YRDZ,ADA4898-1YRDZ,Analog Devices Inc,IC OPAMP VFB 65MHZ 8SOIC,Voltage Feedback,1,-,55 V/µs,-,65MHz,100nA,20µV,7.9mA,40mA,±4.5 V ~ 16.5 V,-40°C ~ 105°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width) Exposed Pad""",8-SOIC-EP
AMP00028,AMP00028,http://www.linear.com/docs/2696,,,Digikey,LT1495IS8#PBF-ND,LT1495IS8#PBF,LT1495IS8#PBF,Linear Technology,IC OPAMP GP 2.7KHZ RRO 8SO,General Purpose,2,Rail-to-Rail,0.001 V/µs,2.7kHz,-,25pA,200µV,1.4µA,1.5mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00029,AMP00029,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8661_8662.pdf,,,Digikey,AD8664ARUZ-ND,AD8664ARUZ,AD8664ARUZ,Analog Devices Inc,IC OPAMP GP 4MHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,3.5 V/µs,4MHz,-,0.3pA,50µV,1.25mA,140mA,5 V ~ 16 V,-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP00030,AMP00030,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4841-1_4841-2.pdf,,,Digikey,ADA4841-2YRMZ-ND,ADA4841-2YRMZ,ADA4841-2YRMZ,Analog Devices Inc,IC OPAMP VFB 80MHZ RRO 8MSOP,Voltage Feedback,2,Rail-to-Rail,13 V/µs,-,80MHz,3µA,40µV,1.2mA,60mA,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00031,AMP00031,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4841-1_4841-2.pdf,,,Digikey,ADA4841-2YRZ-ND,ADA4841-2YRZ,ADA4841-2YRZ,Analog Devices Inc,IC OPAMP VFB 80MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,13 V/µs,-,80MHz,3µA,40µV,1.2mA,60mA,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00032,AMP00032,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8397.pdf,,,Digikey,AD8397ARDZ-ND,AD8397ARDZ,AD8397ARDZ,Analog Devices Inc,IC OPAMP VFB 69MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,53 V/µs,-,69MHz,200pA,1mV,11mA,310mA,"3 V ~ 24 V, ±1.5 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width) Exposed Pad""",8-SOIC-EP
AMP00033,AMP00033,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8065_8066.pdf,,,Digikey,AD8066ARMZ-ND,AD8066ARMZ,AD8066ARMZ,Analog Devices Inc,IC OPAMP VFB 145MHZ RRO 8MSOP,Voltage Feedback,2,Rail-to-Rail,180 V/µs,-,145MHz,3pA,400µV,6.6mA,30mA,"5 V ~ 24 V, ±2.5 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00034,AMP00034,http://www.analog.com/media/en/technical-documentation/data-sheets/AD627.pdf,,,Digikey,AD627ARZ-ND,AD627ARZ,AD627ARZ,Analog Devices Inc,IC OPAMP INSTR 80KHZ RRO 8SOIC,Instrumentation,1,Rail-to-Rail,0.06 V/µs,-,80kHz,2nA,25µV,60µA,25mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00035,AMP00035,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8042.pdf,,,Digikey,AD8042ARZ-REEL7CT-ND,AD8042ARZ-REEL7,AD8042ARZ-REEL7,Analog Devices Inc,IC OPAMP VFB 170MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,225 V/µs,-,170MHz,1.2µA,3mV,6mA,50mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00036,AMP00036,http://www.linear.com/docs/2762,,,Digikey,LT1789CS8-1#PBF-ND,LT1789CS8-1#PBF,LT1789CS8-1#PBF,Linear Technology,IC OPAMP INSTR 60KHZ 8SO,Instrumentation,1,-,0.026 V/µs,60kHz,-,17nA,30µV,85µA,8.5mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00037,AMP00037,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8065_8066.pdf,,,Digikey,AD8066ARZ-R7CT-ND,AD8066ARZ-R7,AD8066ARZ-R7,Analog Devices Inc,IC OPAMP VFB 145MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,180 V/µs,-,145MHz,3pA,400µV,6.6mA,30mA,"5 V ~ 24 V, ±2.5 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00038,AMP00038,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8422.pdf,,,Digikey,AD8422ARZ-ND,AD8422ARZ,AD8422ARZ,Analog Devices Inc,IC OPAMP INSTR 2.2MHZ RRO 8SOIC,Instrumentation,1,Rail-to-Rail,0.8 V/µs,-,2.2MHz,500pA,60µV,300µA,20mA,"3.6 V ~ 36 V, ±1.8 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00039,AMP00039,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8421.pdf,,,Digikey,AD8421ARMZ-ND,AD8421ARMZ,AD8421ARMZ,Analog Devices Inc,IC OPAMP INSTR 10MHZ 8MSOP,Instrumentation,1,-,35 V/µs,-,10MHz,1nA,60µV,2mA,65mA,"5 V ~ 36 V, ±2.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00040,AMP00040,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8220.pdf,,,Digikey,AD8220ARMZ-ND,AD8220ARMZ,AD8220ARMZ,Analog Devices Inc,IC OPAMP INSTR 1.5MHZ RRO 8MSOP,Instrumentation,1,Rail-to-Rail,2 V/µs,-,1.5MHz,25pA,250µV,750µA,15mA,"4.5 V ~ 36 V, ±2.25 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00041,AMP00041,http://www.analog.com/media/en/technical-documentation/data-sheets/AD822.pdf,,,Digikey,AD822ARZ-ND,AD822ARZ,AD822ARZ,Analog Devices Inc,IC OPAMP GP 1.9MHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,3 V/µs,1.9MHz,1.9MHz,2pA,400µV,1.4mA,20mA,"3 V ~ 36 V, ±1.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00042,AMP00042,http://www.analog.com/media/en/technical-documentation/data-sheets/AD822.pdf,,,Digikey,AD822ARMZ-ND,AD822ARMZ,AD822ARMZ,Analog Devices Inc,IC OPAMP GP 1.9MHZ RRO 8MSOP,General Purpose,2,Rail-to-Rail,3 V/µs,1.9MHz,1.9MHz,2pA,400µV,1.4mA,20mA,"3 V ~ 36 V, ±1.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00043,AMP00043,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8476.pdf,,,Digikey,AD8476BRMZ-ND,AD8476BRMZ,AD8476BRMZ,Analog Devices Inc,IC OPAMP DIFF 5MHZ RRO 8MSOP,Differential,1,"Differential, Rail-to-Rail",10 V/µs,-,5MHz,-,-,330µA,35mA,"3 V ~ 18 V, ±1.5 V ~ 9 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00044,AMP00044,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8250.pdf,,,Digikey,AD8250ARMZ-R7CT-ND,AD8250ARMZ-R7,AD8250ARMZ-R7,Analog Devices Inc,IC OPAMP INSTR 10MHZ 10MSOP,Instrumentation,1,Push-Pull,25 V/µs,-,10MHz,5nA,70µV,4.1mA,37mA,±5 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-MSOP
AMP00045,AMP00045,http://www.analog.com/media/en/technical-documentation/data-sheets/AD623.pdf,,,Digikey,AD623BRZ-ND,AD623BRZ,AD623BRZ,Analog Devices Inc,IC OPAMP INSTR 800KHZ RRO 8SOIC,Instrumentation,1,Rail-to-Rail,0.3 V/µs,-,800kHz,17nA,25µV,375µA,-,"2.7 V ~ 12 V, ± 2.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00046,AMP00046,http://www.analog.com/media/en/technical-documentation/data-sheets/AD826.pdf,,,Digikey,AD826ARZ-ND,AD826ARZ,AD826ARZ,Analog Devices Inc,IC OPAMP VFB 50MHZ 8SOIC,Voltage Feedback,2,-,350 V/µs,50MHz,50MHz,3.3µA,500µV,6.6mA,50mA,"5 V ~ 36 V, ±2.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00047,AMP00047,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8615_8616_8618.pdf,,,Digikey,AD8618ARUZ-REELCT-ND,AD8618ARUZ-REEL,AD8618ARUZ-REEL,Analog Devices Inc,IC OPAMP GP 24MHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,12 V/µs,24MHz,-,0.2pA,23µV,1.7mA,150mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP00048,AMP00048,http://www.linear.com/docs/16159,,,Digikey,LTC6244HVIMS8#PBF-ND,LTC6244HVIMS8#PBF,LTC6244HVIMS8#PBF,Linear Technology,IC OPAMP GP 50MHZ RRO 8MSOP,General Purpose,2,Rail-to-Rail,40 V/µs,50MHz,-,1pA,50µV,7mA,55mA,"2.8 V ~ 11 V, ±1.4 V ~ 5.5 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00049,AMP00049,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4932-1_4932-2.pdf,,,Digikey,ADA4932-2YCPZ-R7CT-ND,ADA4932-2YCPZ-R7,ADA4932-2YCPZ-R7,Analog Devices Inc,IC OPAMP DIFF 560MHZ 24LFCSP,Differential,2,Differential,2800 V/µs,-,560MHz,2.5µA,500µV,9.6mA,80mA,"3 V ~ 11 V, ±1.5 V ~ 5.5 V",-40°C ~ 105°C,Surface Mount,"24-VFQFN Exposed Pad, CSP",24-LFCSP-VQ (4x4)
AMP00050,AMP00050,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8628_8629_8630.pdf,,,Digikey,AD8630ARZ-ND,AD8630ARZ,AD8630ARZ,Analog Devices Inc,IC OPAMP ZRO-DRFT 2.5MHZ 14SOIC,Zero-Drift,4,Rail-to-Rail,1 V/µs,2.5MHz,2.5MHz,100pA,1µV,850µA,30mA,"2.7 V ~ 5 V, ±1.35 V ~ 2.5 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
